"ccode","dcode","chrtnum","scode","cdscode","County","District","School"
"37","68361","0000","6040349","37683616040349","San Diego","Santee","Cajon Park Elementary"
"37","68361","0000","6040356","37683616040356","San Diego","Santee","Carlton Hills Elementary"
"37","68361","0000","6040364","37683616040364","San Diego","Santee","Chet F. Harritt Elementary"
"37","68361","0000","6040372","37683616040372","San Diego","Santee","Pepper Drive Elementary"
"37","68361","0000","6040380","37683616040380","San Diego","Santee","PRIDE Academy at Prospect Avenue"
"37","68361","0000","6040406","37683616040406","San Diego","Santee","Sycamore Canyon Elementary"
"37","68361","0000","6068159","37683616068159","San Diego","Santee","Carlton Oaks Elementary"
"37","68361","0000","6085153","37683616085153","San Diego","Santee","Rio Seco Elementary"
"37","68361","0000","6085161","37683616085161","San Diego","Santee","Hill Creek Elementary"
"37","68361","0000","6111041","37683616111041","San Diego","Santee","Santee Alternative"
"37","68379","0000","0000000","37683790000000","San Diego","San Ysidro Elementary",""
"37","68379","0000","0123000","37683790123000","San Diego","San Ysidro Elementary","Willow Elementary"
"37","68379","0000","0125518","37683790125518","San Diego","San Ysidro Elementary","Vista Del Mar"
"37","68379","0000","6085146","37683796085146","San Diego","San Ysidro Elementary","Smythe Elementary"
"37","68379","0000","6089007","37683796089007","San Diego","San Ysidro Elementary","La Mirada Elementary"
"37","68379","0000","6093264","37683796093264","San Diego","San Ysidro Elementary","Sunset Elementary"
"37","68379","0000","6098453","37683796098453","San Diego","San Ysidro Elementary","San Ysidro Middle"
"37","68379","0000","6119341","37683796119341","San Diego","San Ysidro Elementary","Ocean View Hills"
"37","68387","0000","0000000","37683870000000","San Diego","Solana Beach Elementary",""
"37","68387","0000","0105825","37683870105825","San Diego","Solana Beach Elementary","Solana Pacific Elementary"
"37","68387","0000","0129049","37683870129049","San Diego","Solana Beach Elementary","Solana Ranch Elementary"
"37","68387","0000","6040455","37683876040455","San Diego","Solana Beach Elementary","Skyline Elementary"
"37","68387","0000","6111181","37683876111181","San Diego","Solana Beach Elementary","Solana Santa Fe Elementary"
